FruMARCM-M002262_seg001,fru-M-200266
FruMARCM-M002262_seg002,fru-M-200267
FruMARCM-M002278_seg001,fru-M-700150
FruMARCM-M002287_seg001,fru-M-600101
FruMARCM-M002507_seg001,fru-M-900070
FruMARCM-M002522_seg001,fru-M-100217
FruMARCM-M002578_seg001,fru-M-200324
FruMARCM-M002578_seg002,fru-M-200325
FruMARCM-M002579_seg001,fru-M-200326
FruMARCM-M002579_seg002,fru-M-200327
FruMARCM-M002590_seg002,fru-M-200335
FruMARCM-M002591_seg001,fru-M-200336
FruMARCM-M002591_seg002,fru-M-200337
FruMARCM-M002194_seg001,fru-M-900047
FruMARCM-M002196_seg001,fru-M-900048
FruMARCM-M002198_seg001,fru-M-900049
FruMARCM-M002200_seg001,fru-M-900050
FruMARCM-M002204_seg001,fru-M-200253
FruMARCM-M002206_seg001,fru-M-100205
FruMARCM-M002213_seg001,fru-M-600093
FruMARCM-M002215_seg001,fru-M-200254
FruMARCM-M002216_seg001,fru-M-300249
FruMARCM-M002223_seg001,fru-M-500223
FruMARCM-M002224_seg001,fru-M-400200
FruMARCM-M002225_seg001,fru-M-400201
FruMARCM-M002226_seg001,fru-M-500224
FruMARCM-M002226_seg002,fru-M-500225
FruMARCM-M002227_seg001,fru-M-000160
FruMARCM-M002228_seg001,fru-M-000161
FruMARCM-M002229_seg001,fru-M-500226
FruMARCM-M002230_seg001,fru-M-000162
FruMARCM-M002230_seg002,fru-M-000163
FruMARCM-M002230_seg003,fru-M-000164
FruMARCM-M002231_seg001,fru-M-000165
FruMARCM-M002231_seg002,fru-M-000166
FruMARCM-M002232_seg001,fru-M-700143
FruMARCM-M002233_seg001,fru-M-700144
FruMARCM-M002234_seg001,fru-M-200255
FruMARCM-M002235_seg001,fru-M-500227
FruMARCM-M002236_seg001,fru-M-200257
FruMARCM-M002237_seg001,fru-M-200258
FruMARCM-M002237_seg002,fru-M-200259
FruMARCM-M002238_seg001,fru-M-000167
FruMARCM-M002239_seg001,fru-M-000168
FruMARCM-M002239_seg002,fru-M-000169
FruMARCM-M002240_seg001,fru-M-200260
FruMARCM-M002240_seg002,fru-M-200261
FruMARCM-M002241_seg001,fru-M-600094
FruMARCM-M002244_seg001,fru-M-200262
FruMARCM-M002245_seg001,fru-M-000170
FruMARCM-M002246_seg001,fru-M-000171
FruMARCM-M002248_seg001,fru-M-200263
FruMARCM-M002249_seg001,fru-M-200264
FruMARCM-M002250_seg001,fru-M-300250
FruMARCM-M002252_seg001,fru-M-300251
FruMARCM-M002252_seg002,fru-M-300252
FruMARCM-M002253_seg001,fru-M-100206
